nom,source,score,followers,fans,spotify_id,deezer_id
Limsa d'Aulnay,Spotify,,,,7l6m2BySHwnjJuw22SXwh5,
Julia Minkin,Spotify,,,,63fbQTZ9yW3SUsBRYcn1Wm,
TR3NACRIA,Spotify,,,,1gFiEIH4TiLrNeoq7rktTH,
kulturr,Spotify,,,,2yTwZyGRSRDUjZNsLvIOW4,
Natoxie,Spotify,,,,1Wqloe5S1i29Ff7YiWg0x5,
Méne,Spotify,,,,5r3DSRaJz8ckIw4XPH9Whd,
marguerite,Spotify,,,,4jF2P66DtNEficnixuIhKQ,
Rousnam,Spotify,,,,2swYfXhkzkb8s8djG6UjSm,
FRENCHGRL,Spotify,,,,06eMSN9Y5cS7EZX6nnkxpC,
ZZ,Spotify,,,,51loVlVgRomkJwd04A6B1e,
Ashvma,Spotify,,,,46fYppQRc2dAeDAMnrVb6R,
Mikado,Spotify,,,,41Csk4RHbXp1jnMN4NWwOE,
Yoa,Spotify,,,,7d1ctWXfrUvAe804Zld3Gy,
Rambo goyard,Spotify,,,,0RRp1XbMoTmW8zSWC1synA,
1T1,Spotify,,,,29DEO5ubNTmLbFSEZDP2we,
Lushe,Spotify,,,,5zCMyo4rRc63lqoXLKIcgv,
Bendo,Spotify,,,,2VDWsiOnCzMSnxfinUYJkH,
HMZ,Spotify,,,,6pg4S5KTCPiEBp0rSWsaI6,
Léman,Spotify,,,,2EnOL1ADehfBQB03ELa3QQ,
TRZ,Spotify,,,,7cLUwy0R7N8q1YSjHYZdrU,
2 Mètres,Spotify,,,,3WUHUmukg1hiSrVCfCoSbF,
Danyl,Spotify,,,,5Hq9W3lm1N9KRCf35RBMab,
DL91 Era,Spotify,,,,3mWqCmX0xuzBJN648XSBrE,
Thisizlondon,Spotify,,,,30SVAanrbFS6o0cIVDZ9ta,
Styleto,Spotify,,,,4vbZKiwmvbbW6onily9SJ5,
Missan,Spotify,,,,5bpoMhoeJ19sJSuELfgWMk,
XVI,Spotify,,,,0utiBmutysHdb0zXFCLMT2,
Lerizzle,Spotify,,,,1h9kOJqZoCwgSbokQw6GsU,
Ino Casablanca,Spotify,,,,5blvB6N3OACeH0gJL9BRqf,
S2,Spotify,,,,60HWrpmSefhtMWCkghazzG,
Mack H.D,Spotify,,,,0IUp0l21VlpoOz8525KfAJ,
Jungle Jack,Spotify,,,,36HOtWiV4nn0luNGSn2xAT,
MPL,Spotify,,,,7pcG7za39JaUHalwqiuCt9,
WIXO & LA2S,Spotify,,,,0VWHKHfSFwUhP0cuvVUfRN,
63OG,Spotify,,,,1wRx48q25O8HPDTyNOUQ2k,
Killa Predator,Spotify,,,,2jxihp917o7WCCEN3xZXww,
Bobbyezz,Spotify,,,,5hV6TRKQwmvIWKTlsob1z8,
KGS,Spotify,,,,5Iib8YFyekylXZIqcVT1Qk,
Huntrill,Spotify,,,,1Nm9adUt6D5iuhRgirlgF2,
Prod. 94,Spotify,,,,76aDH2U2OFw00wOWvhK6pk,
Vanou,Spotify,,,,5bRjVnu5q4ySUkVYifxtGE,
DVM,Spotify,,,,6Tzkt668w24f7uHLTiq6tr,
Lisa Pariente,Spotify,,,,2D15WFlWJuCeEGC1LGss6X,
Lagui,Spotify,,,,3TP2Ucsow6rW1s24aq9gb4,
Lille Saus,Spotify,,,,15saPvefLxxtw3nvTOCUg0,
Seth Sad,Spotify,,,,4yDo1iZ02sOpLsh1oGAAg9,
Solda,Spotify,,,,7FXX45sHqoQoCwqtG0ZV8H,
La Plaie,Spotify,,,,2ktXCualVDXC8h7jNOuyoQ,
Sheu,Spotify,,,,2NtvkyG03ApOKPBj3TcQRt,
Eloïz,Spotify,,,,1J7b2Snol73xTmYILnCk1t,
