nom,url_spotify,url_deezer,categorie
Vayn,https://open.spotify.com/artist/41CySalxZ2GST1n69SqsZ1,,Rap-HipHop-RnB
Diez,https://open.spotify.com/artist/082ELiDlIVdC1ovHXpWZHK,,Rap-HipHop-RnB
Ryflo,https://open.spotify.com/artist/4acowSAiQXmdhs4DCgUQ0U,,Rap-HipHop-RnB
2 Mètres,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,,Rap-HipHop-RnB
Solda,https://open.spotify.com/artist/7FXX45sHqoQoCwqtG0ZV8H,,Rap-HipHop-RnB
Bianca Costa,https://open.spotify.com/artist/1DcL22xdIWcdNa4ZHaXZjT,,Rap-HipHop-RnB
Tookie2Beriz,https://open.spotify.com/artist/142mBEMjSrFPCuDU0eS20r,,Rap-HipHop-RnB
Lulu Van Trapp,https://open.spotify.com/artist/6N9HDXBvQ0Nd9GVtHg3DMZ,,Rap-HipHop-RnB
Mitra,https://open.spotify.com/artist/27XaRSrSeHtKOAJrzMBzQ8,,Rap-HipHop-RnB
Lawskie,https://open.spotify.com/artist/7gdTFjXWEBzBtir4DGFzku,,Rap-HipHop-RnB
Voleur pnz,https://open.spotify.com/artist/6BGAhqSN3qEqlZRpMogAFN,,Rap-HipHop-RnB
Béné,https://open.spotify.com/artist/0jTfTywFxzHAuuOsEx6iwq,,Rap-HipHop-RnB
La Zona,https://open.spotify.com/artist/0dapCwy3FCdgJb0yGCN4qQ,,Rap-HipHop-RnB
DONI NA MA,https://open.spotify.com/artist/64jyZ8B8vuzf12J7NYAglD,,Rap-HipHop-RnB
West Bank Records,https://open.spotify.com/artist/2VpYQkkjCohjSPskaQGyp0,,Rap-HipHop-RnB
Esteban,https://open.spotify.com/artist/3nul4CdUXaaA3QSHrduvtu,,Rap-HipHop-RnB
LJK,https://open.spotify.com/artist/6KPfd2qfwePi6IM7RyQ3hd,,Rap-HipHop-RnB
La Cabine,https://open.spotify.com/artist/2NNoglK9J8vzsowuHI6k6n,,Rap-HipHop-RnB
