id_unique,nom,source,fans,genre,image_url,url_deezer,date_collecte
Sisik_deezer,Sisik,Deezer,55794,Non spécifié,https://cdn-images.dzcdn.net/images/artist/2009c661203b1d7cf69e5c264a95ed59/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8125697,2026-01-27 08:21:20
Styleto_deezer,Styleto,Deezer,55326,Non spécifié,https://cdn-images.dzcdn.net/images/artist/33a37d44935d5414c97244a3ec80906e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/170886747,2026-01-27 08:21:20
Rose_deezer,Rose,Deezer,54432,Non spécifié,https://cdn-images.dzcdn.net/images/artist/89ab5723cc88639634f3283f766cf451/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12131,2026-01-27 08:21:21
AM La Scampia_deezer,AM La Scampia,Deezer,45877,Non spécifié,https://cdn-images.dzcdn.net/images/artist/18166c9872222df7269e826a713bb76f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/14633713,2026-01-27 08:21:21
Maxence_deezer,Maxence,Deezer,43135,Non spécifié,https://cdn-images.dzcdn.net/images/artist/9c72455bbf9dc37faa2687d384841654/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12086854,2026-01-27 08:21:21
Darius_deezer,Darius,Deezer,41559,Non spécifié,https://cdn-images.dzcdn.net/images/artist/7155e165635198a1d56b0ffb1dfbb109/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12049,2026-01-27 08:21:22
Maze_deezer,Maze,Deezer,41277,Non spécifié,https://cdn-images.dzcdn.net/images/artist/c3287a6d80af4083c66a23ab2f46ccd0/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/2398,2026-01-27 08:21:22
Hervé_deezer,Hervé,Deezer,39099,Non spécifié,https://cdn-images.dzcdn.net/images/artist/9421a6d4a3e099feb47ca62afd45ac25/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/13698817,2026-01-27 08:21:23
Chicaille Argenté_deezer,Chicaille Argenté,Deezer,38253,Non spécifié,https://cdn-images.dzcdn.net/images/artist/4bb644dbbfef990f0dc5be29200bd55f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/72417252,2026-01-27 08:21:23
Foufa Torino_deezer,Foufa Torino,Deezer,34339,Non spécifié,https://cdn-images.dzcdn.net/images/artist/d035f4af9c808ab5b886fb8a5507aa28/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/72597562,2026-01-27 08:21:23
Youka_deezer,Youka,Deezer,33195,Non spécifié,https://cdn-images.dzcdn.net/images/artist/3d554c732dd0d99ce92b464e11cc96fe/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/71363652,2026-01-27 08:21:24
Sam's_deezer,Sam's,Deezer,32048,Non spécifié,https://cdn-images.dzcdn.net/images/artist/2b9eb32c25963db0c474be9424bb7d63/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/309680,2026-01-27 08:21:24
Kafon_deezer,Kafon,Deezer,31198,Non spécifié,https://cdn-images.dzcdn.net/images/artist/b82248d56080ca89d1411f4dde051f0f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8557848,2026-01-27 08:21:24
Waxx_deezer,Waxx,Deezer,31230,Non spécifié,https://cdn-images.dzcdn.net/images/artist/dce6dd6b6e9b65693a21aa1773352e3e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12564376,2026-01-27 08:21:25
Parabellum_deezer,Parabellum,Deezer,30287,Non spécifié,https://cdn-images.dzcdn.net/images/artist/fb57dd3abcf3f794c05e77b967980969/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/7639,2026-01-27 08:21:25
S-Pion_deezer,S-Pion,Deezer,30108,Non spécifié,https://cdn-images.dzcdn.net/images/artist/36b1c0a81c04c8f8ead1b1508d9d080d/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12796111,2026-01-27 08:21:25
Marie-Flore_deezer,Marie-Flore,Deezer,29112,Non spécifié,https://cdn-images.dzcdn.net/images/artist/81054752562054bfff4479b04188a41c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/343829,2026-01-27 08:21:26
Frànçois & The Atlas Mountains_deezer,Frànçois & The Atlas Mountains,Deezer,28144,Non spécifié,https://cdn-images.dzcdn.net/images/artist/fe0cc99516d2303c35ded71db3f29bcc/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/989667,2026-01-27 08:21:26
Flora Fishbach_deezer,Flora Fishbach,Deezer,28215,Non spécifié,https://cdn-images.dzcdn.net/images/artist/3bdbaeddc5d8fe0eb2a2902bbf4ca403/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8852364,2026-01-27 08:21:26
GAULOIS_deezer,GAULOIS,Deezer,32702,Non spécifié,https://cdn-images.dzcdn.net/images/artist/87baff74f3cff7bf4218017cc9bf317c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5376408,2026-01-27 08:21:27
Didou Parisien_deezer,Didou Parisien,Deezer,27678,Non spécifié,https://cdn-images.dzcdn.net/images/artist/51d5a6dd94cd79afa9797467239d1d43/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/9026872,2026-01-27 08:21:27
No Limit_deezer,No Limit,Deezer,27442,Non spécifié,https://cdn-images.dzcdn.net/images/artist/919393e2e6ad08348f9cbd1323bdebd5/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/136645872,2026-01-27 08:21:28
Adrian von Ziegler_deezer,Adrian von Ziegler,Deezer,27121,Non spécifié,https://cdn-images.dzcdn.net/images/artist/b0f830ffd5916d0eb51a95018e6dfc79/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5098098,2026-01-27 08:21:28
Stéphane_deezer,Stéphane,Deezer,27000,Non spécifié,https://cdn-images.dzcdn.net/images/artist/7cac303098c791b78e2a110e53efdde8/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/128266712,2026-01-27 08:21:28
La Phaze_deezer,La Phaze,Deezer,26732,Non spécifié,https://cdn-images.dzcdn.net/images/artist/721065eee9fe262ae53a78ae34d5e173/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1607,2026-01-27 08:21:29
Kennedy_deezer,Kennedy,Deezer,25425,Non spécifié,https://cdn-images.dzcdn.net/images/artist/5b488d9d78ebdd88fd41ef093e982a41/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/67727,2026-01-27 08:21:29
Philip_deezer,Philip,Deezer,4870,Non spécifié,https://cdn-images.dzcdn.net/images/artist/da288077927ab35f0ff4460c0e555ed8/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/96659,2026-01-27 08:21:29
Disco Lines_deezer,Disco Lines,Deezer,4987,Non spécifié,https://cdn-images.dzcdn.net/images/artist/8d07e4515ef235b97becd5c28d23ea75/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/65148802,2026-01-27 08:21:30
Le Bal des Enragés_deezer,Le Bal des Enragés,Deezer,4746,Non spécifié,https://cdn-images.dzcdn.net/images/artist/f48d7446513c1383ff3a3ada70b66083/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/504646,2026-01-27 08:21:30
Shlømo_deezer,Shlømo,Deezer,4808,Non spécifié,https://cdn-images.dzcdn.net/images/artist/0b77a09bc3263fffc95fac539007fb04/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1669858,2026-01-27 08:21:30
Ева Польна_deezer,Ева Польна,Deezer,4590,Non spécifié,https://cdn-images.dzcdn.net/images/artist/d8d50816d6417cd15101728b807539b9/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4153477,2026-01-27 08:21:31
Terrenoire_deezer,Terrenoire,Deezer,24724,Non spécifié,https://cdn-images.dzcdn.net/images/artist/b68616030d9a5ebcd269e07a8c1eb4ab/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/14310515,2026-01-27 08:21:31
Robi_deezer,Robi,Deezer,4529,Non spécifié,https://cdn-images.dzcdn.net/images/artist/3ccdf1df3dce694c0d6f0ae9c122f270/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1446067,2026-01-27 08:21:32
Moka Boka_deezer,Moka Boka,Deezer,4446,Non spécifié,https://cdn-images.dzcdn.net/images/artist/510de8a543626b23efb94a7d9ac0d976/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/11701147,2026-01-27 08:21:32
BLOWSOM_deezer,BLOWSOM,Deezer,4467,Non spécifié,https://cdn-images.dzcdn.net/images/artist/f9fa2107af0d28ebfc6a319b26166940/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/10267432,2026-01-27 08:21:32
Richard Grey_deezer,Richard Grey,Deezer,4065,Non spécifié,https://cdn-images.dzcdn.net/images/artist/4f504366e1106f1ba574e38e0baf4355/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/81160,2026-01-27 08:21:33
Diego Pallavas_deezer,Diego Pallavas,Deezer,4004,Non spécifié,https://cdn-images.dzcdn.net/images/artist/dba0fc28bec2090436c3e797ddf94f49/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/256226,2026-01-27 08:21:33
Anwar_deezer,Anwar,Deezer,4003,Non spécifié,https://cdn-images.dzcdn.net/images/artist/2129f67f86c219e167c48bcbf313b274/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/11066168,2026-01-27 08:21:33
