id,nom,fans,url_deezer,image_url,genre,source,score,categorie,date_collecte
8125697,Sisik,55781,https://www.deezer.com/artist/8125697,https://cdn-images.dzcdn.net/images/artist/2009c661203b1d7cf69e5c264a95ed59/250x250-000000-80-0-0.jpg,Afrobeat-Amapiano,Deezer,62.89,Prometteur,2026-01-12
170886747,Styleto,54454,https://www.deezer.com/artist/170886747,https://cdn-images.dzcdn.net/images/artist/33a37d44935d5414c97244a3ec80906e/250x250-000000-80-0-0.jpg,Pop,Deezer,62.23,Prometteur,2026-01-12
12131,Rose,54345,https://www.deezer.com/artist/12131,https://cdn-images.dzcdn.net/images/artist/89ab5723cc88639634f3283f766cf451/250x250-000000-80-0-0.jpg,Pop,Deezer,62.17,Prometteur,2026-01-12
14633713,AM La Scampia,45852,https://www.deezer.com/artist/14633713,https://cdn-images.dzcdn.net/images/artist/18166c9872222df7269e826a713bb76f/250x250-000000-80-0-0.jpg,Pop,Deezer,57.93,A Surveiller,2026-01-12
12086854,Maxence,42911,https://www.deezer.com/artist/12086854,https://cdn-images.dzcdn.net/images/artist/9c72455bbf9dc37faa2687d384841654/250x250-000000-80-0-0.jpg,Pop,Deezer,56.46,A Surveiller,2026-01-12
12049,Darius,41502,https://www.deezer.com/artist/12049,https://cdn-images.dzcdn.net/images/artist/7155e165635198a1d56b0ffb1dfbb109/250x250-000000-80-0-0.jpg,Indie-Alternative,Deezer,55.75,A Surveiller,2026-01-12
2398,Maze,41244,https://www.deezer.com/artist/2398,https://cdn-images.dzcdn.net/images/artist/c3287a6d80af4083c66a23ab2f46ccd0/250x250-000000-80-0-0.jpg,Pop,Deezer,55.62,A Surveiller,2026-01-12
13698817,Hervé,39053,https://www.deezer.com/artist/13698817,https://cdn-images.dzcdn.net/images/artist/9421a6d4a3e099feb47ca62afd45ac25/250x250-000000-80-0-0.jpg,Indie-Alternative,Deezer,54.53,A Surveiller,2026-01-12
72417252,Chicaille Argenté,38236,https://www.deezer.com/artist/72417252,https://cdn-images.dzcdn.net/images/artist/4bb644dbbfef990f0dc5be29200bd55f/250x250-000000-80-0-0.jpg,Pop,Deezer,54.12,A Surveiller,2026-01-12
72597562,Foufa Torino,34310,https://www.deezer.com/artist/72597562,https://cdn-images.dzcdn.net/images/artist/d035f4af9c808ab5b886fb8a5507aa28/250x250-000000-80-0-0.jpg,Pop,Deezer,52.16,A Surveiller,2026-01-12
