nom,fans,nb_albums,nb_titres,categorie,image_url,url_deezer,nb_releases_recentes
Momo Rap Français,225,3,3,Autre,https://cdn-images.dzcdn.net/images/artist/2961414557ffdda2236120693fe260ee/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/15208755,0
François Hadji-Lazaro,8596,4,4,Autre,https://cdn-images.dzcdn.net/images/artist/3821caf5646db7e99f559d07619f985e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/133108,0
Francis et ses peintres,1168,1,1,Autre,https://cdn-images.dzcdn.net/images/artist/0d09629614f1d57a93e2b8e2ca057cb7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5312721,0
François Pierron,231,1,1,Autre,https://cdn-images.dzcdn.net/images/artist/dc3ff4aa9181fabb7493a161cffc4aaf/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/6106568,0
Francis,492,6,6,Autre,https://cdn-images.dzcdn.net/images/artist/f5baea9386e4a1ae4c32d2c9d66eac73/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/65460112,0
François Ladrezeau,528,2,2,Autre,https://cdn-images.dzcdn.net/images/artist/4fb08d96ac191560aa70318428424f25/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/355269,0
François-Adrien Boïeldieu,332,2,2,Autre,https://cdn-images.dzcdn.net/images/artist/fa7f62fa8e75d2a341bbdb8a4aa392db/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4610701,0
Francisca La Braza,2736,1,1,Autre,https://cdn-images.dzcdn.net/images/artist/bfdfe0404a673dcd6194ce5956fd4b34/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/55107742,0
François Rabbath,293,5,5,Autre,https://cdn-images.dzcdn.net/images/artist/c5dd834837a72ae2242367ff89b01220/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/263697,1
Francis Degrandpré,420,9,9,Autre,https://cdn-images.dzcdn.net/images/artist/5ae58d3d8445ea6b47103c5ab571be9a/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/109196072,3
The Rapparees,612,4,4,Autre,https://cdn-images.dzcdn.net/images/artist/4f5c30576d77f8146d3731fe2d896f43/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/7572586,0
