id,nom,followers,popularity,genres,url_spotify,image_url,genre,source,score,categorie,date_collecte
13IyCFiPKhpVejuTyNulgU,Josas,94308,58,french rap,https://open.spotify.com/artist/13IyCFiPKhpVejuTyNulgU,https://i.scdn.co/image/ab6761610000e5eb448269f61b8f5189121337a1,Rap-HipHop-RnB,Spotify,72.92,Prometteur,2026-01-12
1kvygchIwU4XHXY8xD6ugf,Jeck,97017,56,"french pop, variété française, chanson",https://open.spotify.com/artist/1kvygchIwU4XHXY8xD6ugf,https://i.scdn.co/image/ab6761610000e5eb932f011cc8e5eb2220461f1b,Rap-HipHop-RnB,Spotify,72.06,Prometteur,2026-01-12
1fuooeJa0UywkC89lN5tl6,Bamby,82769,57,"shatta, dancehall, ragga",https://open.spotify.com/artist/1fuooeJa0UywkC89lN5tl6,https://i.scdn.co/image/ab6761610000e5eb2a460a5df38c9d4ac4915203,Afrobeat-Amapiano,Spotify,68.81,Prometteur,2026-01-12
3Gcn7eKPiTv6jwqoyIhVMO,Mous-K,83910,56,french rap,https://open.spotify.com/artist/3Gcn7eKPiTv6jwqoyIhVMO,https://i.scdn.co/image/ab6761610000e5eb064024ecea92bed815551930,Rap-HipHop-RnB,Spotify,68.31,Prometteur,2026-01-12
6SjpwkrjfsNRKajDG4rDbJ,Tovaritch,97281,51,french rap,https://open.spotify.com/artist/6SjpwkrjfsNRKajDG4rDbJ,https://i.scdn.co/image/ab6761610000e5eb3f770d27c222d839e48a4497,Rap-HipHop-RnB,Spotify,68.03,Prometteur,2026-01-12
5SQFDZOMgKao4hMpULEaoI,Joseph Kamel,93841,52,"french pop, variété française, chanson",https://open.spotify.com/artist/5SQFDZOMgKao4hMpULEaoI,https://i.scdn.co/image/ab6761610000e5eb0e8314d608a0dadead12c3b4,Pop,Spotify,67.86,Prometteur,2026-01-12
2iGwIqfIXRskkGakunO9sf,Miel De Montagne,95044,50,"french indie pop, french pop, french house",https://open.spotify.com/artist/2iGwIqfIXRskkGakunO9sf,https://i.scdn.co/image/ab6761610000e5eb88a7cc8cd241694e8abac4f7,Pop,Spotify,66.57,Prometteur,2026-01-12
55Dacc2jL4tgb6Af23NlF6,miki,68900,58,"french pop, french indie pop",https://open.spotify.com/artist/55Dacc2jL4tgb6Af23NlF6,https://i.scdn.co/image/ab6761610000e5ebbc72771d7d3f97683da48ff6,Pop,Spotify,65.75,Prometteur,2026-01-12
68OXIn3MVQ2RMIhQRpBzuB,Dexter HMC,83392,53,french rap,https://open.spotify.com/artist/68OXIn3MVQ2RMIhQRpBzuB,https://i.scdn.co/image/ab6761610000e5ebd99964d4b9e5a96af1aa01a9,Rap-HipHop-RnB,Spotify,65.69,Prometteur,2026-01-12
09FXva53dWku8Gu5N73rR8,Jahyanai,91348,50,"shatta, dancehall, zouk",https://open.spotify.com/artist/09FXva53dWku8Gu5N73rR8,https://i.scdn.co/image/ab6761610000e5eb48e144b0b3f19a6e058d6101,Afrobeat-Amapiano,Spotify,65.5,Prometteur,2026-01-12
1g3dAnqp218LiNN9ng5dIh,Oscar Anton,91313,50,"french indie pop, french pop",https://open.spotify.com/artist/1g3dAnqp218LiNN9ng5dIh,https://i.scdn.co/image/ab6761610000e5eba5ab746fd8286f7b9c14ced0,Electro,Spotify,65.49,Prometteur,2026-01-12
0lbRlAslcfb1mRFpSlo6dC,Ptite Soeur,61309,60,"hyperpop, french rap",https://open.spotify.com/artist/0lbRlAslcfb1mRFpSlo6dC,https://i.scdn.co/image/ab6761610000e5eb1ff4823cc2d279543d3d3e0b,Rap-HipHop-RnB,Spotify,65.35,Prometteur,2026-01-12
2ziSUHAT6LbHKCJIlwHhDG,Camel Power Club,77007,54,,https://open.spotify.com/artist/2ziSUHAT6LbHKCJIlwHhDG,https://i.scdn.co/image/ab6761610000e5eba5947b2204335b4dd3c92434,Pop,Spotify,64.7,Prometteur,2026-01-12
7iXdTXVgCMV5v1c8DFAUoz,Siaka,76749,54,french rap,https://open.spotify.com/artist/7iXdTXVgCMV5v1c8DFAUoz,https://i.scdn.co/image/ab6761610000e5eb239af69a58e2872d57b4afe9,Rap-HipHop-RnB,Spotify,64.63,Prometteur,2026-01-12
4Q4yUu2v7zN40G0LtsnY98,BEN plg,73300,55,french rap,https://open.spotify.com/artist/4Q4yUu2v7zN40G0LtsnY98,https://i.scdn.co/image/ab6761610000e5eb756ac3281009218dc048cd00,Rap-HipHop-RnB,Spotify,64.49,Prometteur,2026-01-12
64s6yr2vWCKyr5Ldwaslwk,Iliona,79735,52,"french pop, french indie pop",https://open.spotify.com/artist/64s6yr2vWCKyr5Ldwaslwk,https://i.scdn.co/image/ab6761610000e5eb560c2b19e92618ad1514fc03,Pop,Spotify,63.82,Prometteur,2026-01-12
1wlqglR1kdPF2T0Rxee11v,Tayron Kwidan's,87587,49,"french r&b, ndombolo, pop urbaine",https://open.spotify.com/artist/1wlqglR1kdPF2T0Rxee11v,https://i.scdn.co/image/ab6761610000e5eb4a08160acaa6b49853dcc087,Afrobeat-Amapiano,Spotify,63.59,Prometteur,2026-01-12
7l6m2BySHwnjJuw22SXwh5,Limsa d'Aulnay,56422,59,french rap,https://open.spotify.com/artist/7l6m2BySHwnjJuw22SXwh5,https://i.scdn.co/image/ab6761610000e5eb687e7c0f175574de1861973c,Rap-HipHop-RnB,Spotify,63.22,Prometteur,2026-01-12
6Pr9pssRV0tD0jdh2Z84td,SAF,82035,50,"pop urbaine, french rap, shatta",https://open.spotify.com/artist/6Pr9pssRV0tD0jdh2Z84td,https://i.scdn.co/image/ab6761610000e5eb3abb3699d07699c53c4fd048,Rap-HipHop-RnB,Spotify,62.83,Prometteur,2026-01-12
0UeKDbiaApyP7qKfcmGN03,Lesram,62573,56,french rap,https://open.spotify.com/artist/0UeKDbiaApyP7qKfcmGN03,https://i.scdn.co/image/ab6761610000e5eb965b7eb9276d01e893f4305f,Rap-HipHop-RnB,Spotify,62.36,Prometteur,2026-01-12
3bZHlENvWWvWYYIsC7vLSi,French Fuse,77428,51,,https://open.spotify.com/artist/3bZHlENvWWvWYYIsC7vLSi,https://i.scdn.co/image/ab6761610000e5eb7b5a406cccab0afd9e4d9033,Afrobeat-Amapiano,Spotify,62.35,Prometteur,2026-01-12
