id_unique,nom,source,followers,popularity,genre,image_url,url_spotify,date_collecte
Limsa d'Aulnay_spotify,Limsa d'Aulnay,Spotify,56894,58,french rap,https://i.scdn.co/image/ab6761610000e5eb687e7c0f175574de1861973c,https://open.spotify.com/artist/7l6m2BySHwnjJuw22SXwh5,2026-01-28 08:18:40
Julia Minkin_spotify,Julia Minkin,Spotify,6054,55,french indie pop,https://i.scdn.co/image/ab6761610000e5eb41e195b3772e9349adadd14d,https://open.spotify.com/artist/63fbQTZ9yW3SUsBRYcn1Wm,2026-01-28 08:18:40
TR3NACRIA_spotify,TR3NACRIA,Spotify,5379,50,afro house,https://i.scdn.co/image/ab6761610000e5eb17f8739b3d07a28cfda82971,https://open.spotify.com/artist/1gFiEIH4TiLrNeoq7rktTH,2026-01-28 08:18:40
kulturr_spotify,kulturr,Spotify,49776,58,"french r&b, pop urbaine",https://i.scdn.co/image/ab6761610000e5eba88f7d3cc726f6677f2a8181,https://open.spotify.com/artist/2yTwZyGRSRDUjZNsLvIOW4,2026-01-28 08:18:41
Natoxie_spotify,Natoxie,Spotify,60265,53,"shatta, kompa, zouk",https://i.scdn.co/image/ab6761610000e5ebc3507b8210cbf205b0fa293d,https://open.spotify.com/artist/1Wqloe5S1i29Ff7YiWg0x5,2026-01-28 08:18:41
Méne_spotify,Méne,Spotify,59979,52,"latin r&b, latin indie",https://i.scdn.co/image/ab6761610000e5eb1bed9b72c5ca5f5c8f4a6951,https://open.spotify.com/artist/5r3DSRaJz8ckIw4XPH9Whd,2026-01-28 08:18:42
marguerite_spotify,marguerite,Spotify,50846,55,"french pop, variété française",https://i.scdn.co/image/ab6761610000e5eb511a95b6f675ad0adfc3bddf,https://open.spotify.com/artist/4jF2P66DtNEficnixuIhKQ,2026-01-28 08:18:42
Rousnam_spotify,Rousnam,Spotify,50230,56,french rap,https://i.scdn.co/image/ab6761610000e5eb06e55f1eb7c5949238e0b6b9,https://open.spotify.com/artist/2swYfXhkzkb8s8djG6UjSm,2026-01-28 08:18:42
FRENCHGRL_spotify,FRENCHGRL,Spotify,5138,50,Non spécifié,https://i.scdn.co/image/ab6761610000e5ebd6b6a174cf708e9fc041f713,https://open.spotify.com/artist/06eMSN9Y5cS7EZX6nnkxpC,2026-01-28 08:18:43
ZZ_spotify,ZZ,Spotify,27560,60,french rap,https://i.scdn.co/image/ab6761610000e5eb36650aef9a8a6777cb226562,https://open.spotify.com/artist/51loVlVgRomkJwd04A6B1e,2026-01-28 08:18:43
Ashvma_spotify,Ashvma,Spotify,11031,58,Non spécifié,https://i.scdn.co/image/ab6761610000e5eb97280ddefcdf4c54c8123ee7,https://open.spotify.com/artist/46fYppQRc2dAeDAMnrVb6R,2026-01-28 08:18:44
Mikado_spotify,Mikado,Spotify,31494,58,"shatta, zouk, kompa",https://i.scdn.co/image/ab6761610000e5ebed3965fb287e581a5ffd5e2a,https://open.spotify.com/artist/41Csk4RHbXp1jnMN4NWwOE,2026-01-28 08:18:44
Yoa_spotify,Yoa,Spotify,46041,55,"french pop, french indie pop",https://i.scdn.co/image/ab6761610000e5eb7164567ab7c16ee4e07238ca,https://open.spotify.com/artist/7d1ctWXfrUvAe804Zld3Gy,2026-01-28 08:18:45
Rambo goyard_spotify,Rambo goyard,Spotify,12578,62,french rap,https://i.scdn.co/image/ab6761610000e5eba8f8fb67081f190e66a14ef7,https://open.spotify.com/artist/0RRp1XbMoTmW8zSWC1synA,2026-01-28 08:18:45
1T1_spotify,1T1,Spotify,52052,52,"shatta, soca, kompa",https://i.scdn.co/image/ab6761610000e5eb2cfcca9a3b3dc0f14dd4b22a,https://open.spotify.com/artist/29DEO5ubNTmLbFSEZDP2we,2026-01-28 08:18:45
Lushe_spotify,Lushe,Spotify,34942,57,french rap,https://i.scdn.co/image/ab6761610000e5ebb94b665a0b5b47618bcff3f4,https://open.spotify.com/artist/5zCMyo4rRc63lqoXLKIcgv,2026-01-28 08:18:46
Bendo_spotify,Bendo,Spotify,5604,48,french rap,https://i.scdn.co/image/ab6761610000e5eb65df7d1372720a15902b915c,https://open.spotify.com/artist/2VDWsiOnCzMSnxfinUYJkH,2026-01-28 08:18:46
HMZ_spotify,HMZ,Spotify,32918,55,french rap,https://i.scdn.co/image/ab6761610000e5eb801d992ee8cacaed07412b9d,https://open.spotify.com/artist/6pg4S5KTCPiEBp0rSWsaI6,2026-01-28 08:18:47
Léman_spotify,Léman,Spotify,59512,48,"french pop, variété française, chanson",https://i.scdn.co/image/ab6761610000e5ebdbdb4d7090f7869713fff1a4,https://open.spotify.com/artist/2EnOL1ADehfBQB03ELa3QQ,2026-01-28 08:18:47
TRZ_spotify,TRZ,Spotify,35316,53,"french rap, shatta",https://i.scdn.co/image/ab6761610000e5eb99d26392d8f7454d31c9b6b8,https://open.spotify.com/artist/7cLUwy0R7N8q1YSjHYZdrU,2026-01-28 08:18:47
2 Mètres_spotify,2 Mètres,Spotify,16938,58,french rap,https://i.scdn.co/image/ab6761610000e5eb71574b9dcdc35a2f6c8c9578,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,2026-01-28 08:18:48
Danyl_spotify,Danyl,Spotify,40096,57,french rap,https://i.scdn.co/image/ab6761610000e5eba0429d93819c94c509eac490,https://open.spotify.com/artist/5Hq9W3lm1N9KRCf35RBMab,2026-01-28 08:18:48
DL91 Era_spotify,DL91 Era,Spotify,18175,57,"desi hip hop, hindi hip hop",https://i.scdn.co/image/ab6761610000e5ebef0b0a24b4754e838f07ee71,https://open.spotify.com/artist/3mWqCmX0xuzBJN648XSBrE,2026-01-28 08:18:49
Thisizlondon_spotify,Thisizlondon,Spotify,9861,54,"latin afrobeats, afrobeats, afrobeat",https://i.scdn.co/image/ab6761610000e5eb70fba59b62b3f083fc7468b0,https://open.spotify.com/artist/30SVAanrbFS6o0cIVDZ9ta,2026-01-28 08:18:49
