nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
2 Mètres,17550,58,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb71574b9dcdc35a2f6c8c9578,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,40,23
Rever,26713,45,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb330a7f5ee59e230693a8471e,https://open.spotify.com/artist/76BgGr8Oq2d63hustF8FPy,20,11
Vayn,6612,47,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9997cadfa3459a48379bc632,https://open.spotify.com/artist/41CySalxZ2GST1n69SqsZ1,16,7
Ryflo,24372,53,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb948ee3850187ecd8e141ae4,https://open.spotify.com/artist/4acowSAiQXmdhs4DCgUQ0U,10,10
Diez,18039,50,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb5acc336a000bac1a8125aa8b,https://open.spotify.com/artist/082ELiDlIVdC1ovHXpWZHK,15,15
Solda,10220,52,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b27305a6f7c1af5093823ddf9ffc,https://open.spotify.com/artist/7FXX45sHqoQoCwqtG0ZV8H,21,9
Bianca Costa,32492,50,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0efadb1416d542a36766a1d8,https://open.spotify.com/artist/1DcL22xdIWcdNa4ZHaXZjT,31,14
Tookie2Beriz,1610,35,"sexy drill, french rap",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebfcafa4f8a62029368b70cf54,https://open.spotify.com/artist/142mBEMjSrFPCuDU0eS20r,8,8
Lulu Van Trapp,4604,21,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebcdcff83aee390ea8fb845851,https://open.spotify.com/artist/6N9HDXBvQ0Nd9GVtHg3DMZ,12,2
Mitra,310,21,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8cf9a3826bf9c2dbbe3a8d8c,https://open.spotify.com/artist/27XaRSrSeHtKOAJrzMBzQ8,6,1
Lawskie,3280,28,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eba2e890cd7acedee83b62a731,https://open.spotify.com/artist/7gdTFjXWEBzBtir4DGFzku,22,16
Voleur pnz,8186,40,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb598cb52579ce3662ae4600e8,https://open.spotify.com/artist/6BGAhqSN3qEqlZRpMogAFN,26,16
Béné,562,16,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2732b29f4ebcd21298c7ab5a898,https://open.spotify.com/artist/0jTfTywFxzHAuuOsEx6iwq,3,0
West Bank Records,21465,37,dancehall,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb52e04ab9135a4dbe83ef446d,https://open.spotify.com/artist/2VpYQkkjCohjSPskaQGyp0,22,3
DONI NA MA,1670,20,rap québécois,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebfd9af6e959c1fe5259e3cc5b,https://open.spotify.com/artist/64jyZ8B8vuzf12J7NYAglD,24,3
La Zona,986,35,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb095328a734122da7dbb0c521,https://open.spotify.com/artist/0dapCwy3FCdgJb0yGCN4qQ,13,11
LJK,10593,45,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9482d31ffea64457980d5baa,https://open.spotify.com/artist/6KPfd2qfwePi6IM7RyQ3hd,21,10
Esteban,11193,24,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebebc9e84fb8916c2ac9583640,https://open.spotify.com/artist/3nul4CdUXaaA3QSHrduvtu,17,1
La Cabine,423,12,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2731456c668216ffe615c8bc73b,https://open.spotify.com/artist/2NNoglK9J8vzsowuHI6k6n,23,0
OPINEL 21,7190,17,"french rap, drill",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb10b2bd92061679efe7b77aae,https://open.spotify.com/artist/5x6fEO7JyQd948Wvonm9xt,4,0
Huntrill,24470,55,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb38bf2ceb8caee8f86ad541e0,https://open.spotify.com/artist/1Nm9adUt6D5iuhRgirlgF2,28,12
Samat,1274,19,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc6c4ad039474118f96475e63,https://open.spotify.com/artist/68uK8Nx6KBp8QZQi3YMU6L,1,0
Nouvelle Donne,378,17,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebf52f4600ebbeba6548aa312b,https://open.spotify.com/artist/6Numu0Mz3dCUG6kiBNdf5E,3,3
Mikeysem,2336,15,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdaa9498f97ce8418ab5cddeb,https://open.spotify.com/artist/5Yz9TYi94Uup3otqHYUF5T,5,0
Secri IXV,9105,14,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eba59975cc9ef279b0622d1ea3,https://open.spotify.com/artist/0ddCzcAD0Echtycm6WsVcE,7,0
Aj Ness,424,20,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9249cbe0a877d243b905c9fe,https://open.spotify.com/artist/4UKbdCFXAar9HgTTBPyef5,8,4
Cloudie,1078,9,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb19caac029522300db5b4f6cf,https://open.spotify.com/artist/52jIUp3kS81lUqD2jFhAQd,10,5
Time Bomb All Stars,372,7,french rap,Rap-HipHop-RnB,,https://open.spotify.com/artist/6QEjD1XO21pQDdID9edgCp,0,0
Felipe,1660,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebeda61bd760550fde50d40c57,https://open.spotify.com/artist/1jEvmmt62aPniaH6j7py8S,11,2
Gabi,4970,24,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb41c19091aae7f61f29fe5ce1,https://open.spotify.com/artist/4gkLBjl1hnfw2pmSZ1JNZl,17,3
Emlo,1767,21,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb24a37cdcb95c6b9aafae64a0,https://open.spotify.com/artist/5O4IDbze1xrfs2zY8wLJ1H,13,7
Narco G,630,27,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb684db219ef23e9b6611f1436,https://open.spotify.com/artist/7D3hvCTFpI2gnTqKdvPKjz,26,12
IZU BABE,209,11,"french rap, rap chrétien",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebe3928507a763d00cea2ca554,https://open.spotify.com/artist/5fWWmqih67RIDZDuY7Wpk6,9,6
Coco061,6377,26,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273873807de7e61c637a3f5076e,https://open.spotify.com/artist/4jQd4K8fy9EuJJZErkbHts,7,4
2sick,341,34,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebee554b8a812b6371e7a17e2d,https://open.spotify.com/artist/1FQkPQ3IrjRAny1OXdGX8S,6,5
Malter,2497,30,french r&b,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8b028033bf8a3bec09671b06,https://open.spotify.com/artist/3FDn3vsowXE4E7NNQn4fqq,26,9
